GFF Download Link	Organellar genome(s)	VEuPathDB Project	Chromosomes	Supercontigs	Contigs	Available for community annotation	BUSCO Genomic	BUSCO Lineage Dataset	BUSCO Protein	Genome Source	Genome Version/Assembly ID	Mega base Pairs	Structural Annotation Source	Structural Annotation Version	Is Reference Strain	Organism	Species	Species NCBI taxon ID	Strain	Strain NCBI taxon ID	CDS Fasta Download Link	Genome Fasta Download Link	Protein Fasta Download Link	Transcript Fasta Download Link	ChIP chip	EC#	ESTs	Genes	GO terms	Microarray	Non Protein coding genes	Orthologs	Popset Sequences	Protein coding genes	Proteomics	Pseudogenes	RNA Seq	RT-PCR	SNPs	TFBS	User comments
http://AmoebaDB.org/common/downloads/Current_Release/NgruberiNEG-M/gff/data/AmoebaDB-68_NgruberiNEG-M.gff	no	AmoebaDB	0	784	0	Apollo	C:  82.7%[S:  82.0%,D:   0.8%],F:   7.1%,M:  10.2%,n:255	eukaryota_odb10	C:  79.6%[S:  77.6%,D:   2.0%],F:   8.2%,M:  12.2%,n:255	INSDC	GCA_000004985.1	40.96	INSDC	Dec 23, 2009	yes	Naegleria gruberi strain NEG-M	Naegleria gruberi	5762	strain NEG-M	744533	http://AmoebaDB.org/common/downloads/Current_Release/NgruberiNEG-M/fasta/data/AmoebaDB-68_NgruberiNEG-M_CDs.fasta	http://AmoebaDB.org/common/downloads/Current_Release/NgruberiNEG-M/fasta/data/AmoebaDB-68_NgruberiNEG-M_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/NgruberiNEG-M/fasta/data/AmoebaDB-68_NgruberiNEG-M_AnnotatedProteins.fasta	http://AmoebaDB.org/common/downloads/Current_Release/NgruberiNEG-M/fasta/data/AmoebaDB-68_NgruberiNEG-M_AnnotatedTranscripts.fasta	N/A	1012	4675	16620	7555	N/A	911	15709	14382	15709	N/A	3	N/A	N/A	N/A	N/A	14
http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaDS4-868/gff/data/AmoebaDB-68_EhistolyticaDS4-868.gff	no	AmoebaDB	0	1177	0	N/A	C:  47.1%[S:  42.4%,D:   4.7%],F:   8.2%,M:  44.7%,n:255	eukaryota_odb10	N/A	INSDC	GCA_018466815.1	19.76	n/a	n/a	no	Entamoeba histolytica DS4-868	Entamoeba histolytica	5759	DS4-868	885310	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaDS4-868/fasta/data/AmoebaDB-68_EhistolyticaDS4-868_CDs.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaDS4-868/fasta/data/AmoebaDB-68_EhistolyticaDS4-868_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaDS4-868/fasta/data/AmoebaDB-68_EhistolyticaDS4-868_AnnotatedProteins.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaDS4-868/fasta/data/AmoebaDB-68_EhistolyticaDS4-868_AnnotatedTranscripts.fasta	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	0	N/A	N/A	N/A	N/A	N/A
http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaKU27/gff/data/AmoebaDB-68_EhistolyticaKU27.gff	no	AmoebaDB	0	1796	0	N/A	C:  47.8%[S:  46.7%,D:   1.2%],F:   6.7%,M:  45.5%,n:255	eukaryota_odb10	C:  49.4%[S:  47.8%,D:   1.6%],F:   5.9%,M:  44.7%,n:255	GenBank	GCA_000338855.1	15.27	GenBank	Mar 19, 2015	no	Entamoeba histolytica KU27	Entamoeba histolytica	5759	KU27	885311	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaKU27/fasta/data/AmoebaDB-68_EhistolyticaKU27_CDs.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaKU27/fasta/data/AmoebaDB-68_EhistolyticaKU27_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaKU27/fasta/data/AmoebaDB-68_EhistolyticaKU27_AnnotatedProteins.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaKU27/fasta/data/AmoebaDB-68_EhistolyticaKU27_AnnotatedTranscripts.fasta	N/A	607	1226	7469	4678	N/A	14	7455	690	7455	N/A	0	N/A	N/A	N/A	N/A	N/A
http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaKU48/gff/data/AmoebaDB-68_EhistolyticaKU48.gff	no	AmoebaDB	0	1168	0	N/A	C:  30.2%[S:  27.8%,D:   2.4%],F:  13.7%,M:  56.1%,n:255	eukaryota_odb10	N/A	INSDC	GCA_019059535.1	16.68	n/a	n/a	no	Entamoeba histolytica KU48	Entamoeba histolytica	5759	KU48	885312	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaKU48/fasta/data/AmoebaDB-68_EhistolyticaKU48_CDs.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaKU48/fasta/data/AmoebaDB-68_EhistolyticaKU48_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaKU48/fasta/data/AmoebaDB-68_EhistolyticaKU48_AnnotatedProteins.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaKU48/fasta/data/AmoebaDB-68_EhistolyticaKU48_AnnotatedTranscripts.fasta	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	0	N/A	N/A	N/A	N/A	N/A
http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaKU50/gff/data/AmoebaDB-68_EhistolyticaKU50.gff	no	AmoebaDB	0	1063	0	N/A	C:  14.9%[S:  14.9%,D:   0.0%],F:  16.1%,M:  69.0%,n:255	eukaryota_odb10	N/A	INSDC	GCA_020283535.1	11.89	N/A	N/A	no	Entamoeba histolytica KU50	Entamoeba histolytica	5759	KU50	885313	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaKU50/fasta/data/AmoebaDB-68_EhistolyticaKU50_CDs.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaKU50/fasta/data/AmoebaDB-68_EhistolyticaKU50_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaKU50/fasta/data/AmoebaDB-68_EhistolyticaKU50_AnnotatedProteins.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaKU50/fasta/data/AmoebaDB-68_EhistolyticaKU50_AnnotatedTranscripts.fasta	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	0	N/A	N/A	N/A	N/A	N/A
http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM3IMSS/gff/data/AmoebaDB-68_EhistolyticaHM3IMSS.gff	no	AmoebaDB	0	1880	0	N/A	C:  47.1%[S:  46.3%,D:   0.8%],F:   7.5%,M:  45.5%,n:255	eukaryota_odb10	C:  51.0%[S:  49.8%,D:   1.2%],F:   4.7%,M:  44.3%,n:255	GenBank	GCA_000346345.1	13.83	GenBank	Mar 20, 2015	no	Entamoeba histolytica HM-3:IMSS	Entamoeba histolytica	5759	HM-3:IMSS	885315	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM3IMSS/fasta/data/AmoebaDB-68_EhistolyticaHM3IMSS_CDs.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM3IMSS/fasta/data/AmoebaDB-68_EhistolyticaHM3IMSS_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM3IMSS/fasta/data/AmoebaDB-68_EhistolyticaHM3IMSS_AnnotatedProteins.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM3IMSS/fasta/data/AmoebaDB-68_EhistolyticaHM3IMSS_AnnotatedTranscripts.fasta	N/A	556	1130	7362	4398	N/A	4	7358	1093	7358	N/A	1	N/A	N/A	N/A	N/A	N/A
http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM1IMSS-A/gff/data/AmoebaDB-68_EhistolyticaHM1IMSS-A.gff	no	AmoebaDB	0	1685	0	N/A	C:  43.1%[S:  42.4%,D:   0.8%],F:   6.3%,M:  50.6%,n:255	eukaryota_odb10	C:  45.5%[S:  44.3%,D:   1.2%],F:   5.9%,M:  48.6%,n:255	GenBank	GCA_000365475.1	12.29	GenBank	Mar 21, 2015	no	Entamoeba histolytica HM-1:IMSS-A	Entamoeba histolytica	5759	HM-1:IMSS-A	885318	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM1IMSS-A/fasta/data/AmoebaDB-68_EhistolyticaHM1IMSS-A_CDs.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM1IMSS-A/fasta/data/AmoebaDB-68_EhistolyticaHM1IMSS-A_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM1IMSS-A/fasta/data/AmoebaDB-68_EhistolyticaHM1IMSS-A_AnnotatedProteins.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM1IMSS-A/fasta/data/AmoebaDB-68_EhistolyticaHM1IMSS-A_AnnotatedTranscripts.fasta	N/A	512	1014	6328	3964	N/A	3	6325	619	6325	N/A	3	N/A	N/A	N/A	N/A	2
http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM1IMSS-B/gff/data/AmoebaDB-68_EhistolyticaHM1IMSS-B.gff	no	AmoebaDB	0	1938	0	N/A	C:  42.7%[S:  42.0%,D:   0.8%],F:   7.5%,M:  49.8%,n:255	eukaryota_odb10	C:  44.3%[S:  43.5%,D:   0.8%],F:   5.5%,M:  50.2%,n:255	GenBank	GCA_000344925.1	12.78	GenBank	Mar 19, 2015	no	Entamoeba histolytica HM-1:IMSS-B	Entamoeba histolytica	5759	HM-1:IMSS-B	885319	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM1IMSS-B/fasta/data/AmoebaDB-68_EhistolyticaHM1IMSS-B_CDs.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM1IMSS-B/fasta/data/AmoebaDB-68_EhistolyticaHM1IMSS-B_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM1IMSS-B/fasta/data/AmoebaDB-68_EhistolyticaHM1IMSS-B_AnnotatedProteins.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM1IMSS-B/fasta/data/AmoebaDB-68_EhistolyticaHM1IMSS-B_AnnotatedTranscripts.fasta	N/A	519	958	6301	3936	N/A	0	6301	567	6301	N/A	0	N/A	N/A	N/A	N/A	N/A
http://AmoebaDB.org/common/downloads/Current_Release/AastronyxisUnknown/gff/data/AmoebaDB-68_AastronyxisUnknown.gff	no	AmoebaDB	0	98248	0	N/A	C:  74.9%[S:  51.4%,D:  23.5%],F:  15.3%,M:   9.8%,n:255	eukaryota_odb10	N/A	GenBank	GCA_000826245.1	83.43	GenBank	n/a	yes	Acanthamoeba astronyxis Unknown	Acanthamoeba astronyxis	65658	Unknown	N/A	http://AmoebaDB.org/common/downloads/Current_Release/AastronyxisUnknown/fasta/data/AmoebaDB-68_AastronyxisUnknown_CDs.fasta	http://AmoebaDB.org/common/downloads/Current_Release/AastronyxisUnknown/fasta/data/AmoebaDB-68_AastronyxisUnknown_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/AastronyxisUnknown/fasta/data/AmoebaDB-68_AastronyxisUnknown_AnnotatedProteins.fasta	http://AmoebaDB.org/common/downloads/Current_Release/AastronyxisUnknown/fasta/data/AmoebaDB-68_AastronyxisUnknown_AnnotatedTranscripts.fasta	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	0	N/A	N/A	N/A	N/A	N/A
http://AmoebaDB.org/common/downloads/Current_Release/AcastellaniiC3/gff/data/AmoebaDB-68_AcastellaniiC3.gff	no	AmoebaDB	0	174	0	N/A	C:  75.3%[S:  74.5%,D:   0.8%],F:  14.9%,M:   9.8%,n:255	eukaryota_odb10	N/A	INSDC	GCA_021020595.1	46.15	N/A	N/A	no	Acanthamoeba castellanii C3	Acanthamoeba castellanii	5755	C3	N/A	http://AmoebaDB.org/common/downloads/Current_Release/AcastellaniiC3/fasta/data/AmoebaDB-68_AcastellaniiC3_CDs.fasta	http://AmoebaDB.org/common/downloads/Current_Release/AcastellaniiC3/fasta/data/AmoebaDB-68_AcastellaniiC3_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/AcastellaniiC3/fasta/data/AmoebaDB-68_AcastellaniiC3_AnnotatedProteins.fasta	http://AmoebaDB.org/common/downloads/Current_Release/AcastellaniiC3/fasta/data/AmoebaDB-68_AcastellaniiC3_AnnotatedTranscripts.fasta	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	0	N/A	N/A	N/A	N/A	N/A
http://AmoebaDB.org/common/downloads/Current_Release/AcastellaniiMa/gff/data/AmoebaDB-68_AcastellaniiMa.gff	no	AmoebaDB	0	221748	0	N/A	C:  52.2%[S:  32.2%,D:  20.0%],F:  31.4%,M:  16.5%,n:255	eukaryota_odb10	N/A	GenBank	GCA_000826485.1	115.05	GenBank	n/a	no	Acanthamoeba castellanii Ma	Acanthamoeba castellanii	5755	Ma	N/A	http://AmoebaDB.org/common/downloads/Current_Release/AcastellaniiMa/fasta/data/AmoebaDB-68_AcastellaniiMa_CDs.fasta	http://AmoebaDB.org/common/downloads/Current_Release/AcastellaniiMa/fasta/data/AmoebaDB-68_AcastellaniiMa_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/AcastellaniiMa/fasta/data/AmoebaDB-68_AcastellaniiMa_AnnotatedProteins.fasta	http://AmoebaDB.org/common/downloads/Current_Release/AcastellaniiMa/fasta/data/AmoebaDB-68_AcastellaniiMa_AnnotatedTranscripts.fasta	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	0	N/A	N/A	N/A	N/A	N/A
http://AmoebaDB.org/common/downloads/Current_Release/AcastellaniiNeff2021/gff/data/AmoebaDB-68_AcastellaniiNeff2021.gff	no	AmoebaDB	0	111	0	N/A	C:  78.4%[S:  77.6%,D:   0.8%],F:  10.6%,M:  11.0%,n:255	eukaryota_odb10	N/A	INSDC	GCA_021020605.1	43.83	N/A	N/A	no	Acanthamoeba castellanii str. Neff 2021	Acanthamoeba castellanii	5755	str. Neff 2021	N/A	http://AmoebaDB.org/common/downloads/Current_Release/AcastellaniiNeff2021/fasta/data/AmoebaDB-68_AcastellaniiNeff2021_CDs.fasta	http://AmoebaDB.org/common/downloads/Current_Release/AcastellaniiNeff2021/fasta/data/AmoebaDB-68_AcastellaniiNeff2021_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/AcastellaniiNeff2021/fasta/data/AmoebaDB-68_AcastellaniiNeff2021_AnnotatedProteins.fasta	http://AmoebaDB.org/common/downloads/Current_Release/AcastellaniiNeff2021/fasta/data/AmoebaDB-68_AcastellaniiNeff2021_AnnotatedTranscripts.fasta	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	0	N/A	N/A	N/A	N/A	N/A
